pid,nome,squadra,ruolo,ruolo_mantra,pfc,pma,pfc_range,pma_range,pfc_lo,pfc_hi,pma_lo,pma_hi,unc_pfc,dpfcpma,slot,tit,expfm,fascia,status,pen_prob,fk_prob,tix,fix,fix_contrib
102a25f4183212a5,GEUBBELS,Lecce,A,Pc,9.799999999999999,2.25,8-13,2-4,8.0,13.0,2.0,4.0,2.5,8.0,4,83.0,6.51,OttimoTit,B,70.0,0.0,50.0,52.3,0.423
e3e2e3c38eede135,BOGA,Juventus,A,W;A,9.549999999999999,6.8500000000000005,8-12,5-10,8.0,12.0,5.0,10.0,2.0,3.0,4,76.0,6.6,OttimoTit,P,0.0,0.0,36.8,61.5,0.456
2e77561ee3fed69a,BONNY,Inter,A,Pc,8.8,6.0,7-11,5-8,7.0,11.0,5.0,8.0,2.0,3.0,5,80.0,6.53,OttimoTit,P,0.0,0.0,44.3,53.4,0.424
209ecb9378f422ea,VITINHA O.,Genoa,A,A,8.55,3.0,7-11,2-5,7.0,11.0,2.0,5.0,2.0,6.0,5,92.0,6.39,TitLowCost,T,10.0,0.0,94.3,43.1,0.359
a4aa386ede35ba92,CUTRONE,Monza,A,Pc,8.5,1.5,7-11,1-3,7.0,11.0,1.0,3.0,2.0,7.0,5,86.0,6.45,TitLowCost,B,20.0,0.0,65.5,50.0,0.387
cc7a214a93e22320,ROMERO D.,Parma,A,Pc,7.95,3.9,6-10,3-6,6.0,10.0,3.0,6.0,2.0,4.0,5,90.0,6.4,TitLowCost,T,0.0,0.0,84.5,44.3,0.36
f6404f93416c465e,LANG,Napoli,A,A,7.1000000000000005,1.95,6-9,2-3,6.0,9.0,2.0,3.0,1.5,5.0,5,76.0,6.56,TitLowCost,B,0.0,0.0,36.8,54.6,0.426
99df8d038431504d,MENDY P.,Cagliari,A,Pc,6.1000000000000005,1.3,5-8,1-2,5.0,8.0,1.0,2.0,1.5,5.0,5,86.0,6.42,TitLowCost,B,0.0,0.0,65.5,46.0,0.361
528102ce825acc8f,ADAMS C.,Torino,A,A,6.05,4.75,5-8,4-7,5.0,8.0,4.0,7.0,1.5,1.0,5,82.0,6.47,TitLowCost,P,0.0,0.0,47.1,48.9,0.385
0c305541f047f9d2,BOBCEK,Frosinone,A,Pc,6.0,1.25,5-8,1-2,5.0,8.0,1.0,2.0,1.5,5.0,5,84.0,6.44,TitLowCost,B,10.0,0.0,56.3,47.7,0.37
